Lugar,Nome,CLUBE,JAN,FEV,MAR,ABR,MAI,JUN,TOTAL
47º,RUBENS WAJSMAN,CLUBE MUNICIPAL/RJ, 544  , 484  , 489  ,,,,1517
48º,Fernando Interlandi Ferreira de Souza,ESPERIA/SP,,, 493  ,, 519 ,493  ,1505
49º,Ruy Inacio Neiva de Carvalho,YELLOW BALL/PR,,, 470  , 477  , 523  ,,1470
50º,João Carlos Leal Segreto Menescal,CLUBE MUNICIPAL/RJ,, 511  , 458  ,,, 499  ,1468
51º,Eduardo Luiz Santos Lehubach,ÍTALO/ES,, 475  ,,, 460  , 491  ,1426
52º,Nilson Oliveira Mimoso,ASTREA/PB, 348  , 370  , 388  ,, 311  ,,1417
53º,Gawaine Lisboa,ARQUERIA IMPERIAL/MA,,, 480  ,, 416  , 478  ,1374
54º,Jerônimo Dias Da Silva Junior,ARQUERIA IMPERIAL/MA,,, 437  ,, 487  , 444  ,1368
55º,Michell Platynyr Almeida de Lima (ARW2),ATICA/DF,,, 226  , 289  , 377  , 432  ,1324
56º,Mateus de Carvalho Almeida,ARQUEIROS DA IRIS/RJ,,, 622,611  ,,,1233
57º,Marcelo da Silva Costa Filho,ARQUEIROS DA IRIS/RJ,,, 602,589  ,,,1191
58º,Luciano Aparecido Domingues,ARQUERIA IMPERIAL/MA,,, 397  ,, 467  , 311  ,1175
59º,Nelson Santos Silva (ARW2),ÍTALO/ES,, 445  ,, 311  ,, 401  ,1157
60º,Joseni Serafim da Cruz (ARW2),CETEFE/DF,, 306  , 358  , 251  , 215  ,,1130
61º,Alex Lourenço de Lima,BAC/PB, 355 , 368  , 394  ,,,,1117
62º,Estevão Moreira de Souza,PIC/MG,,,,, 564 ,550  ,1114
63º,Jorge Ricardo Avena da Cruz,ATICA/DF,, 302  , 426  , 376  ,,,1104
64º,Rael Carniello Saltarello,GOIÁS/GO, 532  , 553  ,,,,,1085
65º,Vilson Raimundo Ferreira,BAND/SP,, 521  , 540  ,,,,1061
66º,Franco André Martins,GOIÁS/GO,,,, 534  , 518  ,,1052
67º,Renan Selingardi do Amaral,ESPERIA/SP,,, 545  ,, 504  ,,1049
68º,Lorenzo Yajima Menicucci,ÍTALO/ES,,, 537 , 505  ,,,1042
69º,Gustavo Toigo,TARS/RS,, 490  ,,, 477  ,,967
70º,Dennyson Santos Pereira,ARQUERIA IMPERIAL/MA,,, 295  ,, 400  , 239  ,934
71º,Caio Rafael Silva Matias,ATABLU/SC,, 500  ,, 411  ,,,911
72º,Romário Alexandre de Sousa,ASTREA/PB, 374  , 284  ,,,,,658
73º,Marcos Antônio de Castro,PIC/MG, 582  ,,,,,,582
74º,Ivan Bouchardet da Fonseca Grebot,ATICA/DF,,,, 572  ,,,572
75º,Rodrigo Antonio Mattei,ATAI/SC,,,, 569  ,,,569
76º,Reinaldo Vagner Charão Ferreira (ARST),TARS/RS,,,,, 312 , 252  ,564
77º,Otávio Joaquim Baratto de Azevedo,ARQ.WOLFF/SC,, 557  ,,,,,557
78º,Raphael Pereira Oliveira Brandão,ARQUEIROS DA IRIS/RJ,, 551  ,,,,,551
79º,Rodrigo Estevez Ferreira,EARE/RJ,,,, 537  ,,,537
80º,Eder Rogerio Daniel,BEST/SP,, 536  ,,,,,536
81º,Reinaldo Macari,ARP/SP,,,, 514  ,,,514
82º,Luis Irapoan Jucá da Silva,ÍTALO/ES, 512  ,,,,,,512
83º,João Carlos Spindler Mariani (ARW2),CIDEF/RS,, 508  ,,,,,508
84º,Ventura Eduardo de Souza Barbeiro,ARP/SP,,,, 490  ,,,490
85º,Ricardo da Silva Porto,ARP/SP,,,, 487  ,,,487
86º,Juan Ricardo Feindt Urrejola (ARST),CMC/SP,,, 481  ,,,,481
87º,Leonardo Meireles Câmara,ÍTALO/ES,,,,,, 479  ,479
88º,Ademar Luca Carlini (ARW2),SEP/SP,,,, 473  ,,,473
89º,Jorge Sebastião Bernardo Silva,TARS/RS,, 473  ,,,,,473
90º,Luiz Gustavo Galano,BAND/SP,,,,, 467  ,,467
91º,Vander Minossi Farias,TARS/RS,,,,, 383  ,,383
92º,Willian Rafael Pedroni,CIDEF/RS,, 380  ,,,,,380
93º,Mauricio Cesar Pinto Pessoa,ARQUERIA BS/MA,,, 355  ,,,,355
94º,Herman Cristian Sakuma,ESPERIA/SP,, 348  ,,,,,348
95º,Pedro Eugenio Bastos Pires,CLUBE MUNICIPAL/RJ,, 347  ,,,,,347
96º,Eudes Fernando Furtado Silva Junior,ARQUERIA IMPERIAL/MA,,, 287  ,,,,287
97º,Kauam Vintena da Silva,ARQUEIROS DA IRIS/RJ,,, 245  ,,,,245
98º,Gustavo Mendes de Araujo (VI),CETEFE/DF,,,,, 242  ,,242
99º,Fábio Passeto,ACAMP/SP,, 0  ,,,,,0
